ParkCode,LatS,LongE,LatN,LongW,lng,lat
MIDN,36.2,-72.5,41,-80.2,-76.35,38.6
APCO,37.417,-78.76,37.367,-78.824,-78.792,37.392
BOWA,37.107,-79.718,37.123,-79.745,-79.7315,37.115
COLO,37.191,-76.482,37.3,-76.835,-76.6585,37.2455
FRSP,38.144,-77.43,38.332,-77.768,-77.599,38.238
GETT,39.774,-77.16,39.857,-77.281,-77.2205,39.8155
GEWA,38.182,-76.913,38.202,-76.934,-76.9235,38.192
HOFU,40.19,-75.755,40.22,-75.777,-75.766,40.205
PETE,37.133,-77.271,37.318,-77.642,-77.4565,37.2255
RICH,37.348,-77.237,37.6,-77.427,-77.332,37.474
SAHI,40.87,-73.472,40.898,-73.529,-73.5005,40.884
THST,38.522,-77.045,38.537,-77.029,-77.037,38.5295
VAFO,40.079,-75.472,40.122,-75.416,-75.444,40.1005
ASIS,37.839096,-75.534549,38.382598,-75.014759,-75.274654,38.110847
